is_comb;items;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3;time_elapsed
True;JA3+JA3S+JA4+JA4S+SNI;0.25;3;3;3669;965;0;4634;0.7917565817867933;0.20824341821320674;1.7339231765213639;1.0;1;3;1;2987;384;298;0.64;0.08;0.06;575.5
False;JA3+JA3S+JA4+JA4S;0.25;3;3;2059;2575;0;4634;0.444324557617609;0.555675442382391;2.796288303841174;3.0;3;3;1;914;626;519;0.2;0.14;0.11;363.75
True;JA3+JA3S+JA4+JA4S;0.25;3;3;3677;957;0;4634;0.793482952093224;0.206517047906776;1.7339231765213639;1.0;1;3;1;3056;311;310;0.66;0.07;0.07;363.75
False;JA4+JA4S+SNI;0.25;3;3;2271;2363;0;4634;0.4900733707380233;0.5099266292619767;2.796288303841174;3.0;3;3;1;1066;785;420;0.23;0.17;0.09;185.05
True;JA4+JA4S+SNI;0.25;3;3;3699;935;0;4634;0.7982304704359086;0.2017695295640915;1.7339231765213639;1.0;1;3;1;3031;377;291;0.65;0.08;0.06;185.05
False;JA3+JA3S+SNI;0.25;3;3;1721;2913;0;4634;0.37138541217091064;0.6286145878290893;2.796288303841174;3.0;3;3;1;860;619;242;0.19;0.13;0.05;163.68
True;JA3+JA3S+SNI;0.25;3;3;3662;972;0;4634;0.7902460077686664;0.20975399223133362;1.7339231765213639;1.0;1;3;1;2997;463;202;0.65;0.1;0.04;163.68
False;JA4+JA4S;0.25;3;3;2259;2375;0;4634;0.4874838152783772;0.5125161847216227;2.796288303841174;3.0;3;3;1;1087;845;327;0.23;0.18;0.07;112.91
True;JA4+JA4S;0.25;3;3;3706;928;0;4634;0.7997410444540354;0.20025895554596462;1.7339231765213639;1.0;1;3;1;3074;358;274;0.66;0.08;0.06;112.91
False;JA3+JA3S;0.25;3;3;1690;2944;0;4634;0.3646957272334916;0.6353042727665085;2.796288303841174;3.0;3;3;1;939;484;267;0.2;0.1;0.06;101.05
True;JA3+JA3S;0.25;3;3;3673;961;0;4634;0.7926197669400087;0.20738023305999137;1.7339231765213639;1.0;1;3;1;3032;434;207;0.65;0.09;0.04;101.05
False;JA3+JA4;0.25;3;3;1379;3255;0;4634;0.297583081570997;0.702416918429003;2.796288303841174;3.0;3;3;1;832;371;176;0.18;0.08;0.04;98.68
True;JA3+JA4;0.25;3;3;3540;1094;0;4634;0.7639188605955978;0.23608113940440226;1.7453603798014674;1.0;1;3;1;2974;298;268;0.64;0.06;0.06;98.68
False;JA4;0.25;3;3;1805;2829;0;4634;0.3895123003884333;0.6104876996115667;2.7917565817867933;3.0;3;3;1;789;630;386;0.17;0.14;0.08;60.34
True;JA4;0.25;3;3;3572;1062;0;4634;0.7708243418213206;0.22917565817867933;1.7466551575312905;1.0;1;3;1;2975;346;251;0.64;0.07;0.05;60.34
False;JA3;0.25;3;3;1295;3339;0;4634;0.2794561933534743;0.7205438066465257;2.7781614156236514;3.0;3;3;1;790;349;156;0.17;0.08;0.03;74.47
True;JA3;0.25;3;3;1782;2852;0;4634;0.38454898575744495;0.615451014242555;2.287009063444109;3.0;3;3;1;1569;74;139;0.34;0.02;0.03;74.47
