is_comb;items;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;JA4;0.25;3;4;339;66;0;405;0.837;0.163;2.1284;2.0;3;3;1;227;65;47;0.56;0.16;0.12
True;JA4;0.25;3;4;352;53;0;405;0.8691;0.1309;1.5852;1.0;1;3;1;293;32;27;0.72;0.08;0.07
False;JA3;0.25;3;4;339;66;0;405;0.837;0.163;2.1284;2.0;3;3;1;229;63;47;0.57;0.16;0.12
True;JA3;0.25;3;4;352;53;0;405;0.8691;0.1309;1.5852;1.0;1;3;1;297;33;22;0.73;0.08;0.05
False;JA4+JA4S;0.25;3;4;341;64;0;405;0.842;0.158;2.1284;2.0;3;3;1;238;52;51;0.59;0.13;0.13
True;JA4+JA4S;0.25;3;4;352;53;0;405;0.8691;0.1309;1.5852;1.0;1;3;1;298;35;19;0.74;0.09;0.05
False;JA3+JA3S;0.25;3;4;343;62;0;405;0.8469;0.1531;2.1284;2.0;3;3;1;248;44;51;0.61;0.11;0.13
True;JA3+JA3S;0.25;3;4;354;51;0;405;0.8741;0.1259;1.5852;1.0;1;3;1;300;33;21;0.74;0.08;0.05
False;JA3+JA4;0.25;3;4;339;66;0;405;0.837;0.163;2.1284;2.0;3;3;1;229;65;45;0.57;0.16;0.11
True;JA3+JA4;0.25;3;4;352;53;0;405;0.8691;0.1309;1.5852;1.0;1;3;1;296;34;22;0.73;0.08;0.05
False;JA3+JA3S+JA4+JA4S;0.25;3;4;341;64;0;405;0.842;0.158;2.1284;2.0;3;3;1;243;51;47;0.6;0.13;0.12
True;JA3+JA3S+JA4+JA4S;0.25;3;4;352;53;0;405;0.8691;0.1309;1.5852;1.0;1;3;1;295;31;26;0.73;0.08;0.06
False;JA3+JA3S+JA4+JA4S+SNI;0.25;3;4;341;64;0;405;0.842;0.158;2.1284;2.0;3;3;1;245;42;54;0.6;0.1;0.13
True;JA3+JA3S+JA4+JA4S+SNI;0.25;3;4;352;53;0;405;0.8691;0.1309;1.5852;1.0;1;3;1;296;32;24;0.73;0.08;0.06
False;JA3+JA3S+JA4+JA4S+SNI+ORG;0.25;3;4;344;61;0;405;0.8494;0.1506;2.1284;2.0;3;3;1;230;60;54;0.57;0.15;0.13
True;JA3+JA3S+JA4+JA4S+SNI+ORG;0.25;3;4;353;52;0;405;0.8716;0.1284;1.5852;1.0;1;3;1;287;45;21;0.71;0.11;0.05
False;JA4+JA4S+SNI;0.25;3;4;343;62;0;405;0.8469135802469135;0.15308641975308643;2.128395061728395;2.0;3;3;1;238;53;52;0.59;0.13;0.13
True;JA4+JA4S+SNI;0.25;3;4;352;53;0;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;293;34;25;0.72;0.08;0.06
False;JA3+JA3S+SNI;0.25;3;4;345;60;0;405;0.8518518518518519;0.14814814814814814;2.128395061728395;2.0;3;3;1;245;46;54;0.6;0.11;0.13
True;JA3+JA3S+SNI;0.25;3;4;354;51;0;405;0.8740740740740741;0.1259259259259259;1.5851851851851853;1.0;1;3;1;294;36;24;0.73;0.09;0.06
False;JA3+JA3S+JA4+JA4S+SNI+ORG+CE;0.25;3;4;344;61;0;405;0.8493827160493828;0.1506172839506173;2.128395061728395;2.0;3;3;1;230;60;54;0.57;0.15;0.13
True;JA3+JA3S+JA4+JA4S+SNI+ORG+CE;0.25;3;4;353;52;0;405;0.8716049382716049;0.12839506172839507;1.5851851851851853;1.0;1;3;1;287;45;21;0.71;0.11;0.05
False;JA3+JA3S+JA4+JA4S+SNI+ORG+CE;0.25;3;3;344;61;0;405;0.8493827160493828;0.1506172839506173;2.128395061728395;2.0;3;3;1;230;60;54;0.57;0.15;0.13
True;JA3+JA3S+JA4+JA4S+SNI+ORG+CE;0.25;3;3;352;53;0;405;0.8691358024691358;0.1308641975308642;1.5827160493827162;1.0;1;3;1;286;45;21;0.71;0.11;0.05
