is_comb;items;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
True;JA4+JA4S;0.7;3;4;117;288;0;13;405;0.28888888888888886;0.7111111111111111;2.1753086419753087;3.0;3;3;1;114;3;0;0.28;0.01;0.0
False;JA4+JA4S;0.6;3;4;136;269;0;19;405;0.3358024691358025;0.6641975308641975;2.246913580246914;3.0;3;3;1;117;17;2;0.29;0.04;0.0
True;JA4+JA4S;0.6;3;4;135;270;0;19;405;0.3333333333333333;0.6666666666666666;2.3728395061728396;3.0;3;3;1;117;16;2;0.29;0.04;0.0
False;JA4+JA4S;0.5;3;4;204;201;0;26;405;0.5037037037037037;0.4962962962962963;2.0024691358024693;2.0;3;3;1;177;23;4;0.44;0.06;0.01
True;JA4+JA4S;0.5;3;4;202;203;0;26;405;0.49876543209876545;0.5012345679012346;2.185185185185185;3.0;3;3;1;177;25;0;0.44;0.06;0.0
False;JA4+JA4S;0.4;3;4;290;115;0;37;405;0.7160493827160493;0.2839506172839506;1.782716049382716;2.0;1;3;1;241;26;23;0.6;0.06;0.06
True;JA4+JA4S;0.4;3;4;287;118;0;37;405;0.7086419753086419;0.291358024691358;1.7358024691358025;1.0;1;3;1;261;9;17;0.64;0.02;0.04
False;JA4+JA4S;0.3;3;4;341;64;0;46;405;0.8419753086419753;0.1580246913580247;2.128395061728395;2.0;3;3;1;229;58;54;0.57;0.14;0.13
True;JA4+JA4S;0.3;3;4;352;53;0;46;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;296;35;21;0.73;0.09;0.05
False;JA4+JA4S;0.2;3;4;335;70;0;65;405;0.8271604938271605;0.1728395061728395;2.128395061728395;2.0;3;3;1;236;60;39;0.58;0.15;0.1
True;JA4+JA4S;0.2;3;4;341;64;0;65;405;0.8419753086419753;0.1580246913580247;1.5851851851851853;1.0;1;3;1;293;33;15;0.72;0.08;0.04
False;JA4+JA4S;0.1;3;4;359;46;0;108;405;0.8864197530864197;0.11358024691358025;2.128395061728395;2.0;3;3;1;255;75;29;0.63;0.19;0.07
True;JA4+JA4S;0.1;3;4;351;54;0;108;405;0.8666666666666667;0.13333333333333333;1.5851851851851853;1.0;1;3;1;301;42;8;0.74;0.1;0.02
