is_comb;items;pattern_filters;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;JA4+JA4S+SNI;len(1)x2+len(2)x2;0.05;3;4;355;50;0;60;405;0.8765432098765432;0.12345679012345678;2.128395061728395;2.0;3;3;1;248;68;39;0.61;0.17;0.1
True;JA4+JA4S+SNI;len(1)x2+len(2)x2;0.05;3;4;353;52;0;60;405;0.8716049382716049;0.12839506172839507;1.5851851851851853;1.0;1;3;1;289;50;14;0.71;0.12;0.03
False;JA4+JA4S+SNI;len(1)x2+len(3)x2;0.05;3;4;358;47;0;57;405;0.8839506172839506;0.11604938271604938;2.128395061728395;2.0;3;3;1;286;35;37;0.71;0.09;0.09
True;JA4+JA4S+SNI;len(1)x2+len(3)x2;0.05;3;4;353;52;0;57;405;0.8716049382716049;0.12839506172839507;1.5851851851851853;1.0;1;3;1;324;14;15;0.8;0.03;0.04
False;JA4+JA4S+SNI;len(2)x2+len(3)x2;0.05;3;4;359;46;0;57;405;0.8864197530864197;0.11358024691358025;2.128395061728395;2.0;3;3;1;247;90;22;0.61;0.22;0.05
True;JA4+JA4S+SNI;len(2)x2+len(3)x2;0.05;3;4;354;51;0;57;405;0.8740740740740741;0.1259259259259259;1.5851851851851853;1.0;1;3;1;282;55;17;0.7;0.14;0.04
False;JA4+JA4S+SNI;len(1)x2+len(2)x2+len(3)x2;0.05;3;4;359;46;0;87;405;0.8864197530864197;0.11358024691358025;2.128395061728395;2.0;3;3;1;252;75;32;0.62;0.19;0.08
True;JA4+JA4S+SNI;len(1)x2+len(2)x2+len(3)x2;0.05;3;4;351;54;0;87;405;0.8666666666666667;0.13333333333333333;1.5851851851851853;1.0;1;3;1;289;47;15;0.71;0.12;0.04
False;JA4+JA4S+SNI;len(1)x2;0.2;3;4;355;50;0;29;405;0.8765432098765432;0.12345679012345678;2.128395061728395;2.0;3;3;1;261;49;45;0.64;0.12;0.11
True;JA4+JA4S+SNI;len(1)x2;0.2;3;4;354;51;0;29;405;0.8740740740740741;0.1259259259259259;1.5851851851851853;1.0;1;3;1;307;34;13;0.76;0.08;0.03
False;JA4+JA4S+SNI;len(3)x2;0.2;3;4;224;181;0;18;405;0.5530864197530864;0.4469135802469136;1.8938271604938273;2.0;1;3;1;184;29;11;0.45;0.07;0.03
True;JA4+JA4S+SNI;len(3)x2;0.2;3;4;226;179;0;18;405;0.5580246913580247;0.4419753086419753;1.980246913580247;2.0;1;3;1;198;21;7;0.49;0.05;0.02
False;JA4+JA4S+SNI;len(2)x2;0.2;3;4;269;136;0;25;405;0.6641975308641975;0.3358024691358025;1.9530864197530864;2.0;1;3;1;232;27;10;0.57;0.07;0.02
True;JA4+JA4S+SNI;len(2)x2;0.2;3;4;264;141;0;25;405;0.6518518518518519;0.34814814814814815;1.7876543209876543;1.0;1;3;1;243;15;6;0.6;0.04;0.01
False;JA4+JA4S+SNI;len(1)x2+len(2)x2;0.2;3;4;355;50;0;54;405;0.8765432098765432;0.12345679012345678;2.128395061728395;2.0;3;3;1;260;41;54;0.64;0.1;0.13
True;JA4+JA4S+SNI;len(1)x2+len(2)x2;0.2;3;4;354;51;0;54;405;0.8740740740740741;0.1259259259259259;1.5851851851851853;1.0;1;3;1;307;20;27;0.76;0.05;0.07
False;JA4+JA4S+SNI;len(1)x2+len(3)x2;0.2;3;4;349;56;0;47;405;0.8617283950617284;0.1382716049382716;2.128395061728395;2.0;3;3;1;257;40;52;0.63;0.1;0.13
True;JA4+JA4S+SNI;len(1)x2+len(3)x2;0.2;3;4;352;53;0;47;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;306;22;24;0.76;0.05;0.06
False;JA4+JA4S+SNI;len(2)x2+len(3)x2;0.2;3;4;264;141;0;43;405;0.6518518518518519;0.34814814814814815;1.9530864197530864;2.0;1;3;1;195;59;10;0.48;0.15;0.02
True;JA4+JA4S+SNI;len(2)x2+len(3)x2;0.2;3;4;261;144;0;43;405;0.6444444444444445;0.35555555555555557;1.7876543209876543;1.0;1;3;1;231;26;4;0.57;0.06;0.01
False;JA4+JA4S+SNI;len(1)x2+len(2)x2+len(3)x2;0.2;3;4;337;68;0;72;405;0.8320987654320988;0.16790123456790124;2.128395061728395;2.0;3;3;1;258;38;41;0.64;0.09;0.1
True;JA4+JA4S+SNI;len(1)x2+len(2)x2+len(3)x2;0.2;3;4;341;64;0;72;405;0.8419753086419753;0.1580246913580247;1.5851851851851853;1.0;1;3;1;307;21;13;0.76;0.05;0.03
False;JA4+JA4S+SNI;len(1)x2;0.25;3;4;351;54;0;29;405;0.8666666666666667;0.13333333333333333;2.128395061728395;2.0;3;3;1;259;51;41;0.64;0.13;0.1
True;JA4+JA4S+SNI;len(1)x2;0.25;3;4;354;51;0;29;405;0.8740740740740741;0.1259259259259259;1.5851851851851853;1.0;1;3;1;307;34;13;0.76;0.08;0.03
False;JA4+JA4S+SNI;len(3)x2;0.25;3;4;224;181;0;14;405;0.5530864197530864;0.4469135802469136;1.8938271604938273;2.0;1;3;1;198;13;13;0.49;0.03;0.03
True;JA4+JA4S+SNI;len(3)x2;0.25;3;4;223;182;0;14;405;0.5506172839506173;0.44938271604938274;1.980246913580247;2.0;1;3;1;209;8;6;0.52;0.02;0.01
False;JA4+JA4S+SNI;len(2)x2;0.25;3;4;283;122;0;25;405;0.6987654320987654;0.3012345679012346;1.9530864197530864;2.0;1;3;1;197;55;31;0.49;0.14;0.08
True;JA4+JA4S+SNI;len(2)x2;0.25;3;4;279;126;0;25;405;0.6888888888888889;0.3111111111111111;1.7876543209876543;1.0;1;3;1;208;52;19;0.51;0.13;0.05
False;JA4+JA4S+SNI;len(1)x2+len(2)x2;0.25;3;4;354;51;0;54;405;0.8740740740740741;0.1259259259259259;2.128395061728395;2.0;3;3;1;224;87;43;0.55;0.21;0.11
True;JA4+JA4S+SNI;len(1)x2+len(2)x2;0.25;3;4;353;52;0;54;405;0.8716049382716049;0.12839506172839507;1.5851851851851853;1.0;1;3;1;273;66;14;0.67;0.16;0.03
False;JA4+JA4S+SNI;len(1)x2+len(3)x2;0.25;3;4;349;56;0;43;405;0.8617283950617284;0.1382716049382716;2.128395061728395;2.0;3;3;1;258;43;48;0.64;0.11;0.12
True;JA4+JA4S+SNI;len(1)x2+len(3)x2;0.25;3;4;353;52;0;43;405;0.8716049382716049;0.12839506172839507;1.5851851851851853;1.0;1;3;1;306;20;27;0.76;0.05;0.07
False;JA4+JA4S+SNI;len(2)x2+len(3)x2;0.25;3;4;278;127;0;39;405;0.6864197530864198;0.3135802469135803;1.9530864197530864;2.0;1;3;1;192;56;30;0.47;0.14;0.07
True;JA4+JA4S+SNI;len(2)x2+len(3)x2;0.25;3;4;272;133;0;39;405;0.671604938271605;0.32839506172839505;1.7876543209876543;1.0;1;3;1;208;47;17;0.51;0.12;0.04
False;JA4+JA4S+SNI;len(1)x2+len(2)x2+len(3)x2;0.25;3;4;348;57;0;68;405;0.8592592592592593;0.14074074074074075;2.128395061728395;2.0;3;3;1;227;66;55;0.56;0.16;0.14
True;JA4+JA4S+SNI;len(1)x2+len(2)x2+len(3)x2;0.25;3;4;352;53;0;68;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;273;54;25;0.67;0.13;0.06
