is_comb;items;pattern_filters;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
True;JA4+JA4S+SNI;len(3);0.2;3;4;2291;2343;0;91;4634;0.49438929650410013;0.5056107034958999;2.044669831678895;2.0;3;3;1;1889;279;123;0.41;0.06;0.03
False;JA4+JA4S+SNI;len(3)x10;0.2;3;4;1701;2933;0;91;4634;0.36706948640483383;0.6329305135951662;2.7050064738886492;3.0;3;3;1;967;254;480;0.21;0.05;0.1
True;JA4+JA4S+SNI;len(3)x10;0.2;3;4;2293;2341;0;91;4634;0.4948208890807078;0.5051791109192922;2.044669831678895;2.0;3;3;1;1881;286;126;0.41;0.06;0.03
False;JA4+JA4S+SNI;len(3)x5;0.2;3;4;1730;2904;0;91;4634;0.3733275787656452;0.6266724212343547;2.7050064738886492;3.0;3;3;1;975;322;433;0.21;0.07;0.09
True;JA4+JA4S+SNI;len(3)x5;0.2;3;4;2318;2316;0;91;4634;0.5002157962883038;0.4997842037116962;2.044669831678895;2.0;3;3;1;1882;289;147;0.41;0.06;0.03
False;JA4+JA4S+SNI;len(1)x5+len(2)x5;0.2;3;4;2836;1798;0;578;4634;0.6119982736296936;0.38800172637030644;2.790677600345274;3.0;3;3;1;1560;952;324;0.34;0.21;0.07
True;JA4+JA4S+SNI;len(1)x5+len(2)x5;0.2;3;4;3734;900;0;578;4634;0.805783340526543;0.19421665947345707;1.7136383254208027;1.0;1;3;1;3262;297;175;0.7;0.06;0.04
False;JA4+JA4S+SNI;len(1)x5+len(3)x5;0.2;3;4;2866;1768;0;399;4634;0.6184721622788089;0.3815278377211912;2.790677600345274;3.0;3;3;1;1557;692;617;0.34;0.15;0.13
True;JA4+JA4S+SNI;len(1)x5+len(3)x5;0.2;3;4;3733;901;0;399;4634;0.8055675442382391;0.1944324557617609;1.7136383254208027;1.0;1;3;1;3151;410;172;0.68;0.09;0.04
False;JA4+JA4S+SNI;len(2)x5+len(3)x5;0.2;3;4;2858;1776;0;361;4634;0.6167457919723781;0.38325420802762195;2.7904618040569704;3.0;3;3;1;1302;855;701;0.28;0.18;0.15
True;JA4+JA4S+SNI;len(2)x5+len(3)x5;0.2;3;4;3682;952;0;361;4634;0.7945619335347432;0.2054380664652568;1.7302546396201985;1.0;1;3;1;2990;511;181;0.65;0.11;0.04
False;JA4+JA4S+SNI;len(1)x5+len(2)x10;0.2;3;4;2862;1772;0;610;4634;0.6176089771255935;0.38239102287440657;2.790677600345274;3.0;3;3;1;1631;710;521;0.35;0.15;0.11
True;JA4+JA4S+SNI;len(1)x5+len(2)x10;0.2;3;4;3739;895;0;610;4634;0.8068623219680622;0.19313767803193785;1.7136383254208027;1.0;1;3;1;3190;343;206;0.69;0.07;0.04
False;JA4+JA4S+SNI;len(1)x5+len(3)x10;0.2;3;4;2866;1768;0;399;4634;0.6184721622788089;0.3815278377211912;2.790677600345274;3.0;3;3;1;1557;692;617;0.34;0.15;0.13
True;JA4+JA4S+SNI;len(1)x5+len(3)x10;0.2;3;4;3733;901;0;399;4634;0.8055675442382391;0.1944324557617609;1.7136383254208027;1.0;1;3;1;3151;410;172;0.68;0.09;0.04
False;JA4+JA4S+SNI;len(2)x5+len(3)x10;0.2;3;4;2861;1773;0;361;4634;0.6173931808372896;0.3826068191627104;2.7904618040569704;3.0;3;3;1;1301;856;704;0.28;0.18;0.15
True;JA4+JA4S+SNI;len(2)x5+len(3)x10;0.2;3;4;3682;952;0;361;4634;0.7945619335347432;0.2054380664652568;1.7302546396201985;1.0;1;3;1;2989;512;181;0.65;0.11;0.04
False;JA4+JA4S+SNI;len(1)x10+len(2)x5+len(2)x5;0.2;3;4;2884;1750;0;870;4634;0.622356495468278;0.3776435045317221;2.790677600345274;3.0;3;3;1;1559;977;348;0.34;0.21;0.08
True;JA4+JA4S+SNI;len(1)x10+len(2)x5+len(2)x5;0.2;3;4;3731;903;0;870;4634;0.8051359516616314;0.19486404833836857;1.7136383254208027;1.0;1;3;1;3249;311;171;0.7;0.07;0.04
False;JA4+JA4S+SNI;len(1)x5+len(2)x10+len(2)x5;0.2;3;4;2891;1743;0;880;4634;0.6238670694864048;0.37613293051359514;2.790677600345274;3.0;3;3;1;1642;735;514;0.35;0.16;0.11
True;JA4+JA4S+SNI;len(1)x5+len(2)x10+len(2)x5;0.2;3;4;3737;897;0;880;4634;0.8064307293914544;0.19356927060854554;1.7136383254208027;1.0;1;3;1;3222;322;193;0.7;0.07;0.04
False;JA4+JA4S+SNI;len(1)x5+len(2)x5+len(2)x10;0.2;3;4;2891;1743;0;880;4634;0.6238670694864048;0.37613293051359514;2.790677600345274;3.0;3;3;1;1642;735;514;0.35;0.16;0.11
True;JA4+JA4S+SNI;len(1)x5+len(2)x5+len(2)x10;0.2;3;4;3737;897;0;880;4634;0.8064307293914544;0.19356927060854554;1.7136383254208027;1.0;1;3;1;3222;322;193;0.7;0.07;0.04
False;JA4+JA4S+SNI;>=len(2);0.25;3;4;2261;2373;0;277;4634;0.4879154078549849;0.5120845921450151;2.767587397496763;3.0;3;3;1;1163;656;442;0.25;0.14;0.1
True;JA4+JA4S+SNI;>=len(2);0.25;3;4;3512;1122;0;277;4634;0.7578765645230902;0.2421234354769098;1.7593871385412172;1.0;1;3;1;2905;359;248;0.63;0.08;0.05
False;JA4+JA4S+SNI;>=len(2)x10;0.25;3;4;2240;2394;0;277;4634;0.48338368580060426;0.5166163141993958;2.767587397496763;3.0;3;3;1;1163;660;417;0.25;0.14;0.09
True;JA4+JA4S+SNI;>=len(2)x10;0.25;3;4;3512;1122;0;277;4634;0.7578765645230902;0.2421234354769098;1.7593871385412172;1.0;1;3;1;2905;359;248;0.63;0.08;0.05
False;JA4+JA4S+SNI;>=len(2)x5;0.25;3;4;2237;2397;0;244;4634;0.4827362969356927;0.5172637030643072;2.767587397496763;3.0;3;3;1;1144;707;386;0.25;0.15;0.08
True;JA4+JA4S+SNI;>=len(2)x5;0.25;3;4;3510;1124;0;244;4634;0.7574449719464825;0.24255502805351747;1.7593871385412172;1.0;1;3;1;2909;352;249;0.63;0.08;0.05
False;JA4+JA4S+SNI;len(2);0.25;3;4;2262;2372;0;218;4634;0.48813120414328875;0.5118687958567113;2.767587397496763;3.0;3;3;1;1153;671;438;0.25;0.14;0.09
True;JA4+JA4S+SNI;len(2);0.25;3;4;3511;1123;0;218;4634;0.7576607682347863;0.24233923176521363;1.7593871385412172;1.0;1;3;1;2882;324;305;0.62;0.07;0.07
False;JA4+JA4S+SNI;len(2)x10;0.25;3;4;2262;2372;0;218;4634;0.48813120414328875;0.5118687958567113;2.767587397496763;3.0;3;3;1;1153;672;437;0.25;0.15;0.09
True;JA4+JA4S+SNI;len(2)x10;0.25;3;4;3511;1123;0;218;4634;0.7576607682347863;0.24233923176521363;1.7593871385412172;1.0;1;3;1;2882;324;305;0.62;0.07;0.07
False;JA4+JA4S+SNI;len(2)x5;0.25;3;4;2210;2424;0;209;4634;0.476909797151489;0.523090202848511;2.767587397496763;3.0;3;3;1;1113;723;374;0.24;0.16;0.08
True;JA4+JA4S+SNI;len(2)x5;0.25;3;4;3499;1135;0;209;4634;0.7550712127751402;0.24492878722485972;1.7593871385412172;1.0;1;3;1;2873;334;292;0.62;0.07;0.06
